iter	Passed	Remaining
214	9677	35333
215	9724	35296
216	9784	35305
217	9826	35247
218	9874	35215
219	9930	35207
220	9972	35151
221	10028	35144
222	10078	35115
223	10134	35109
224	10172	35039
225	10211	34972
226	10270	34974
227	10311	34912
228	10364	34895
229	10411	34855
230	10449	34785
231	10494	34739
232	10532	34672
233	10576	34622
234	10633	34613
235	10679	34571
236	10727	34537
237	10775	34500
238	10813	34432
239	10853	34370
240	10897	34319
241	10940	34267
242	10983	34217
243	11023	34155
244	11066	34102
245	11115	34068
246	11159	34021
247	11210	33991
248	11258	33956
249	11296	33888
250	11336	33828
251	11389	33806
252	11453	33818
253	11483	33725
254	11535	33702
255	11582	33661
256	11620	33595
257	11678	33586
258	11726	33549
259	11805	33599
260	11875	33624
261	11942	33640
262	12002	33634
263	12050	33596
264	12081	33510
265	12127	33465
266	12163	33392
267	12204	33335
268	12254	33302
269	12305	33270
270	12362	33255
271	12392	33167
272	12439	33126
273	12482	33072
274	12542	33067
275	12577	32993
276	12625	32953
277	12686	32949
278	12742	32928
279	12788	32884
280	12831	32832
281	12905	32857
282	12954	32821
283	13026	32841
284	13073	32799
285	13124	32766
286	13166	32710
287	13216	32673
288	13274	32658
289	13325	32623
290	13382	32605
291	13425	32551
292	13472	32507
293	13514	32454
294	13567	32423
295	13619	32391
296	13652	32314
297	13690	32251
298	13734	32200
299	13772	32136
300	13818	32090
301	13843	31995
302	13883	31937
303	13926	31883
304	13965	31821
305	14003	31760
306	14027	31664
307	14075	31623
308	14129	31596
309	14163	31526
310	14206	31473
311	14267	31461
312	14321	31434
313	14351	31353
314	14408	31332
315	14441	31260
316	14488	31217
317	14522	31146
318	14556	31075
319	14597	31018
320	14635	30958
321	14684	30919
322	14738	30890
323	14800	30880
324	14832	30806
325	14874	30753
326	14913	30693
327	14964	30659
328	15008	30609
329	15050	30557
330	15107	30534
331	15143	30469
332	15177	30400
333	15236	30382
334	15274	30320
335	15330	30296
336	15372	30242
337	15398	30158
338	15447	30119
339	15487	30064
340	15518	29990
341	15572	29960
342	15630	29938
343	15670	29883
344	15715	29837
345	15754	29778
346	15803	29740
347	15863	29721
348	15902	29662
349	15946	29614
350	16004	29593
351	16050	29548
352	16099	29508
353	16143	29458
354	16214	29459
355	16271	29434
356	16333	29419
357	16379	29374
358	16421	29321
359	16465	29271
360	16503	29212
361	16543	29157
362	16577	29090
363	16631	29059
364	16687	29031
365	16740	28997
366	16785	28952
367	16822	28891
368	16873	28853
369	16914	28800
370	16960	28754
371	17024	28740
372	17072	28697
373	17123	28661
374	17168	28614
375	17213	28567
376	17254	28513
377	17311	28485
378	17347	28424
379	17407	28401
380	17436	28328
381	17491	28297
382	17532	28244
383	17596	28227
384	17627	28158
385	17674	28114
386	17726	28078
387	17765	28022
388	17803	27963
389	17851	27922
390	17899	27878
391	17930	27809
392	17967	27750
393	18021	27718
394	18071	27679
395	18111	27624
396	18149	27566
397	18187	27509
398	18234	27466
399	18273	27409
400	18315	27358
401	18357	27308
402	18397	27254
403	18453	27223
404	18503	27183
405	18532	27114
406	18578	27068
407	18614	27008
408	18668	26975
409	18714	26930
410	18769	26898
