iter	Passed	Remaining
831	9195	1856
832	9204	1845
833	9217	1834
834	9228	1823
835	9239	1812
836	9250	1801
837	9262	1790
838	9272	1779
839	9283	1768
840	9294	1757
841	9306	1746
842	9317	1735
843	9327	1724
844	9338	1712
845	9350	1702
846	9362	1691
847	9371	1679
848	9382	1668
849	9392	1657
850	9403	1646
851	9415	1635
852	9426	1624
853	9438	1613
854	9448	1602
855	9459	1591
856	9470	1580
857	9479	1568
858	9490	1557
859	9502	1546
860	9513	1535
861	9525	1524
862	9535	1513
863	9547	1502
864	9559	1491
865	9570	1480
866	9579	1469
867	9591	1458
868	9603	1447
869	9613	1436
870	9625	1425
871	9635	1414
872	9647	1403
873	9659	1392
874	9670	1381
875	9682	1370
876	9694	1359
877	9705	1348
878	9716	1337
879	9726	1326
880	9737	1315
881	9750	1304
882	9760	1293
883	9772	1282
884	9785	1271
885	9796	1260
886	9809	1249
887	9820	1238
888	9830	1227
889	9841	1216
890	9852	1205
891	9864	1194
892	9876	1183
893	9887	1172
894	9899	1161
895	9911	1150
896	9922	1139
897	9934	1128
898	9945	1117
899	9957	1106
900	9969	1095
901	9981	1084
902	9991	1073
903	10004	1062
904	10015	1051
905	10027	1040
906	10039	1029
907	10049	1018
908	10061	1007
909	10072	996
910	10082	985
911	10093	973
912	10103	962
913	10115	951
914	10128	940
915	10139	929
916	10151	918
917	10163	907
918	10175	896
919	10186	885
920	10196	874
921	10208	863
922	10218	852
923	10229	841
924	10240	830
925	10251	819
926	10263	808
927	10274	797
928	10284	786
929	10294	774
930	10308	763
931	10318	752
932	10329	741
933	10340	730
934	10350	719
935	10361	708
936	10372	697
937	10383	686
938	10396	675
939	10407	664
940	10418	653
941	10429	642
942	10440	631
943	10451	620
944	10462	608
945	10472	597
946	10484	586
947	10495	575
948	10505	564
949	10515	553
950	10526	542
951	10537	531
952	10546	520
953	10558	509
954	10568	497
955	10580	486
956	10590	475
957	10601	464
958	10613	453
959	10624	442
960	10635	431
961	10647	420
962	10659	409
963	10671	398
964	10683	387
965	10693	376
966	10705	365
967	10716	354
968	10727	343
969	10738	332
970	10749	321
971	10761	309
972	10771	298
973	10783	287
974	10793	276
975	10805	265
976	10815	254
977	10826	243
978	10837	232
979	10848	221
980	10858	210
981	10868	199
982	10878	188
983	10889	177
984	10900	165
985	10910	154
986	10920	143
987	10930	132
988	10942	121
989	10954	110
990	10964	99
991	10976	88
992	10989	77
993	11000	66
994	11012	55
995	11025	44
996	11036	33
997	11049	22
998	11060	11
999	11071	0
