FID,feat_name,households,income_100,income_10K,income_125,income_150,income_15k,income_20k,income_25k,income_30k,income_35k,income_40k,income_45k,income_50k,income_60k,income_75k,income_gt_,income_lt_,median_inc,pop_densit,population,year
840,130202010404,380.250000000000000,38.609999999999999,17.079999999999998,23.949999999999999,29.719999999999999,22.149999999999999,14.920000000000000,21.699999999999999,13.840000000000000,7.340000000000000,7.770000000000000,13.460000000000001,21.760000000000002,66.980000000000004,50.710000000000001,18.899999999999999,11.359999999999999,48316.800000000002910,53377.839999999996508,923.570000000000050,2015.000000000000000
841,130202010405,296.779999999999973,24.500000000000000,15.960000000000001,14.390000000000001,13.900000000000000,18.260000000000002,18.160000000000000,13.990000000000000,24.660000000000000,17.890000000000001,16.609999999999999,18.879999999999999,20.750000000000000,22.500000000000000,21.670000000000002,9.740000000000000,24.930000000000000,61329.139999999999418,40156.959999999999127,804.000000000000000,2015.000000000000000
842,130202010406,459.199999999999989,32.719999999999999,23.350000000000001,23.030000000000001,23.079999999999998,26.489999999999998,18.039999999999999,20.620000000000001,24.730000000000000,23.149999999999999,18.879999999999999,21.100000000000001,39.439999999999998,46.840000000000003,45.939999999999998,19.820000000000000,51.979999999999997,57901.330000000001746,27773.439999999998690,1650.740000000000009,2015.000000000000000
843,130202010501,2046.269999999999982,221.979999999999990,40.680000000000000,240.479999999999990,178.729999999999990,68.030000000000001,82.049999999999997,96.090000000000003,50.430000000000000,65.219999999999999,49.479999999999997,70.090000000000003,168.120000000000005,204.020000000000010,303.360000000000014,147.000000000000000,60.500000000000000,89206.729999999995925,360429.690000000002328,4855.550000000000182,2015.000000000000000
844,130202010502,692.480000000000018,69.269999999999996,24.329999999999998,66.739999999999995,57.549999999999997,21.590000000000000,14.109999999999999,28.020000000000000,25.359999999999999,15.539999999999999,12.810000000000000,19.960000000000001,65.739999999999995,73.840000000000003,110.870000000000005,46.460000000000001,40.299999999999997,75129.429999999993015,159942.720000000001164,1618.059999999999945,2015.000000000000000
845,130202010503,207.169999999999987,20.590000000000000,9.300000000000001,16.449999999999999,16.989999999999998,4.470000000000000,4.750000000000000,7.330000000000000,7.020000000000000,4.610000000000000,3.260000000000000,6.470000000000000,22.530000000000001,23.340000000000000,31.469999999999999,14.070000000000000,14.520000000000000,58384.669999999998254,20473.200000000000728,467.120000000000005,2015.000000000000000
846,130202010504,184.699999999999989,19.620000000000001,8.359999999999999,15.480000000000000,15.350000000000000,4.190000000000000,4.310000000000000,7.310000000000000,6.750000000000000,4.180000000000000,2.420000000000000,5.720000000000000,16.949999999999999,21.160000000000000,26.090000000000000,13.710000000000001,13.130000000000001,60340.000000000000000,28141.560000000001310,417.990000000000009,2015.000000000000000
847,130202010505,237.800000000000011,24.609999999999999,10.160000000000000,20.530000000000001,21.500000000000000,4.010000000000000,2.730000000000000,7.600000000000000,6.880000000000000,5.450000000000000,2.400000000000000,7.200000000000000,23.329999999999998,29.960000000000001,36.600000000000001,17.090000000000000,17.750000000000000,61847.500000000000000,65950.860000000000582,531.159999999999968,2015.000000000000000
848,130202010506,383.610000000000014,34.469999999999999,22.020000000000000,24.460000000000001,31.109999999999999,11.240000000000000,8.960000000000001,18.270000000000000,13.039999999999999,16.730000000000000,5.860000000000000,14.170000000000000,33.939999999999998,41.460000000000001,55.990000000000002,20.309999999999999,31.600000000000001,61093.750000000000000,47046.209999999999127,1249.039999999999964,2015.000000000000000
851,130202010603,94.250000000000000,2.620000000000000,5.270000000000000,2.330000000000000,1.570000000000000,8.029999999999999,4.260000000000000,5.690000000000000,4.390000000000000,5.780000000000000,5.050000000000000,2.920000000000000,9.500000000000000,11.020000000000000,7.420000000000000,2.350000000000000,16.059999999999999,40050.500000000000000,29774.169999999998254,498.519999999999982,2015.000000000000000
852,130202010604,161.629999999999995,4.820000000000000,9.109999999999999,4.270000000000000,2.700000000000000,13.369999999999999,7.270000000000000,9.800000000000001,7.440000000000000,9.650000000000000,9.050000000000001,5.400000000000000,16.140000000000001,18.520000000000000,13.680000000000000,3.680000000000000,26.739999999999998,40050.500000000000000,29774.169999999998254,798.419999999999959,2015.000000000000000
854,130202010606,166.370000000000005,7.120000000000000,10.840000000000000,4.400000000000000,5.720000000000000,11.800000000000001,7.260000000000000,10.770000000000000,7.380000000000000,11.020000000000000,7.380000000000000,6.390000000000000,15.070000000000000,17.059999999999999,16.980000000000000,3.710000000000000,23.469999999999999,41188.290000000000873,37531.360000000000582,824.970000000000027,2015.000000000000000
855,130202010607,289.329999999999984,27.649999999999999,14.810000000000000,21.210000000000001,24.620000000000001,6.930000000000000,5.270000000000000,11.840000000000000,9.190000000000000,10.090000000000000,3.780000000000000,9.869999999999999,26.800000000000001,33.500000000000000,43.250000000000000,17.620000000000001,22.899999999999999,56231.669999999998254,46785.870000000002619,817.159999999999968,2015.000000000000000
856,130202010608,378.730000000000018,23.289999999999999,26.300000000000001,12.930000000000000,21.570000000000000,20.539999999999999,14.480000000000000,24.149999999999999,15.520000000000000,25.100000000000001,11.080000000000000,15.490000000000000,31.809999999999999,36.399999999999999,46.340000000000003,11.050000000000001,42.680000000000000,47415.000000000000000,42172.629999999997381,1777.250000000000000,2015.000000000000000
857,130202010609,134.129999999999995,7.250000000000000,9.330000000000000,4.370000000000000,5.420000000000000,7.840000000000000,5.700000000000000,8.960000000000001,5.610000000000000,8.410000000000000,6.590000000000000,6.530000000000000,11.320000000000000,12.150000000000000,17.170000000000002,1.940000000000000,15.539999999999999,45109.889999999999418,68543.550000000002910,503.959999999999980,2015.000000000000000
