WSA_AGIDF,Ecode
CA1910087,S
UTAH18027,S
SC0420011,S
PA1090074,S
CA3810001,S
TX2200012,S
PA7210028,N
OH5703612,N
IL0315400,SB
OK3006004,N
CA1910211,B
CA1910021,B
CA1910161,B
CA1910087,S
CA1910087,S
CA1910087,S
TX1010013,S
CA3710023,S
VA6179775,N
CA3810001,S
TX0150116,N
NC0467041,N
MI0007220,S
CA1910013,SB
CA1910087,S
MA6000000,S
TX0700005,S
TX0700033,SB
TX0700008,S
FL3591121,N
MI0000465,SB
OH2903512,S
TX0430007,SB
FL2104391,N
CA3410021,S
CA1910087,S
PR0002682,N
CO0135291,S
CO0135485,S
CO0162553,SB
CO0135718,S
NY5903489,S
UTAH29023,S
AL0000398,S
CA5610050,S
PR0005096,N
CA5610059,B
CA5610050,S
CA3010120,S
CA3010071,S
CA1910087,S
IL2015500,S
PA1150106,S
PA1460073,S
FL4064390,N
90400109,N
PA1090079,SB
MD0060015,N
MD0060015,N
MD0060015,N
MD0060015,N
MD0060015,N
MD0060015,N
MD0060015,N
MD0060015,N
MD0060015,N
MD0060015,N
KS2004503,S
NM3575501,N
VI0000097,N
MD0020001,N
PA1460048,S
IA0990701,S
WA5386800,S
WA5392500,N
MA6000000,S
PR0003333,N
TX1010013,S
CA3410008,N
WI4360364,S
SC3010001,S
SC2310001,S
SC3010002,S
MI0007220,S
SC3210004,S
TX1110100,S
WA5386800,S
AZ0407046,S
GA0770002,N
NY5417686,S
OK1020801,S
NY2230013,SB
OR4100591,S
CA3710042,S
OH4801411,S
AL0001671,S
PR0003303,N
NJ1345001,S
OH4302911,S
MA4244001,S
FL1660596,N
CT0608011,N
PR0005106,N
MI0002838,S
TX1010007,N
OH7101412,S
FL6512214,N
OH8301512,N
OH8301512,N
OH8301512,N
CO0101150,S
FL4060642,S
NJ0238001,S
WA5386800,S
FL1170527,N
SC4010001,S
OH2900612,S
OH2900612,S
VA3740600,S
NC0465232,S
TX0710005,N
MI0001995,S
NY2902841,N
HI0000400,N
CA1910041,S
CA1910067,S
MS0240008,N
MS0240008,N
MS0240008,N
PR0004695,N
UTAH18027,S
CA1910032,SB
PR0005607,N
OH1301312,S
CO0203002,N
PA1460073,S
CA3710042,S
AL0000591,S
AL0000133,S
AL0000162,S
MI0002838,S
FL4505005,N
TX2270027,N
NJ1605002,S
NJ1605002,S
AR0000465,S
VA5019052,N
DE0000221,S
CA1910087,S
IL0312010,SB
PR0005627,N
CO0116001,S
IL0316000,S
MD0230003,N
NY3503580,N
OR4100580,S
TX1050003,N
FL5444047,N
FL5444047,N
CA4310011,S
UTAH18027,S
CA4010002,N
TX1370035,SB
MI0002838,S
LA1095007,N
OH4401612,N
NJ1326004,S
PA4490023,N
PA4490023,N
OH3600514,N
NJ0221001,B
CA3710037,SB
TX0840001,B
SC2310001,S
MA4094000,S
MA4173000,S
MA4169000,S
CA3810001,S
OH4701803,SB
OH4700411,S
FL5360172,N
TX0840153,S
SC2620004,S
FL6296139,S
SC2620009,S
CA4810005,N
IL0971070,S
FL1660615,N
NC0351070,S
NC0392050,SB
NC0392010,S
PA3060069,N
CA1910091,N
CA2710001,N
VA3710100,S
AL0000899,N
NY5930056,SB
NY5903452,S
NY5903436,SB
NY5903469,SB
CA3810001,S
90400693,N
UTAH18006,N
TX2460012,N
MA6000000,S
FL5360243,N
MI0002838,S
TX0200497,S
NC6054001,S
MI0002838,S
TN0008278,S
CA3310037,SB
TX0940091,S
CA1510029,N
CO0135291,S
MI0002838,S
CA3710042,S
UTAH29023,S
CA1910157,N
NJ1326004,S
MO6024530,SB
PR0002722,N
OR4100657,S
PA1090001,S
MI0006310,S
IA5225101,N
NC0410045,S
WV3304513,N
CA5010023,N
CA5010034,N
CA5010029,N
CA5010031,N
CA5010038,S
WA5359700,N
MA6000000,S
TX1370001,SB
AZ0407695,S
NJ0806001,SB
NJ0806001,SB
NJ0811002,B
TX2200012,S
AL0001092,S
CA2701929,N
CA2710019,N
CA2710012,N
AZ0414024,N
AZ0414024,N
PR0002762,N
CA1910041,S
TX1700197,SB
PR0003323,N
OR4100091,N
UTAH29023,S
CA1910087,S
AR0000465,S
CA1910212,N
AZ0407150,N
NJ1213002,N
PR0003373,N
WI1130231,N
KY0760370,S
WA5325200,B
WA5382844,SB
FL6604862,N
CO0130020,S
NH1241010,S
NH1241010,S
PA3060088,B
PA3060059,S
CA5610050,S
SC4220007,S
IN5202014,N
WV3301046,N
SC0420011,S
SC3910002,S
OH5553612,S
TN0000286,S
NY2902848,N
CA3810001,S
OK2005508,S
MI0002838,S
MI0007260,SB
MO1010415,S
OH8301603,N
PA1090026,S
OH0700412,S
SC2820005,B
SC1320004,S
OH2700012,S
NM3528707,N
MA1281000,S
NJ0327001,S
PA4110017,S
CA1510040,S
VA6600100,N
MA4050000,SB
MA4266000,S
MA4244000,SB
MA4088000,S
SC4610002,S
MD0060002,N
MD0060002,N
GA1430007,S
WI2410100,S
PA3480055,N
NJ1352005,S
